,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
X,1.0,0.5395481711380373,-0.06500303238573935,-0.02492189451620072,-0.02103927195447126,-0.04838417811002757,-0.0859161229292237,0.006209940733411746,-0.05125826189682818,0.08522319351659569,0.01879781839180689,0.0653871676344612,0.06338529923831279
Y,0.5395481711380373,1.0,-0.0662917856658583,-0.005453336752210808,-0.046307545544891346,0.0077815611880294846,-0.10117776738647877,-0.024487992245409478,-0.02410308397864113,0.06222073101148411,-0.020340851659222517,0.03323410316780374,0.0448732251228133
month,-0.06500303238573935,-0.0662917856658583,1.0,-0.05083659196727144,0.29147677109052894,0.46664525179062355,0.8686977586017978,0.1865969741868938,0.36884150535846516,-0.095280384332009,-0.08636796530413314,0.013438129063815689,0.056495774290709545
day,-0.02492189451620072,-0.005453336752210808,-0.05083659196727144,1.0,-0.04106833078009181,0.06287039728670377,0.00010490272014470832,0.0329092595158911,0.05219034097897044,0.09215143741355881,0.03247816377925551,-0.048340152986807126,0.02322637156746077
FFMC,-0.02103927195447126,-0.046307545544891346,0.29147677109052894,-0.04106833078009181,1.0,0.3826188000494305,0.33051179520454227,0.5318049310435656,0.4315322591786204,-0.30099541606173924,-0.028484809230441114,0.05670153306263109,0.0401220041586204
DMC,-0.04838417811002757,0.0077815611880294846,0.46664525179062355,0.06287039728670377,0.3826188000494305,1.0,0.6821916119833165,0.3051278348697829,0.46959384433603074,0.07379494110578093,-0.10534225273531549,0.07478998218143804,0.07299429625105723
DC,-0.0859161229292237,-0.10117776738647877,0.8686977586017978,0.00010490272014470832,0.33051179520454227,0.6821916119833165,1.0,0.2291541690881879,0.49620805310522914,-0.039191647189483134,-0.20346569092971806,0.035860861980096206,0.04938322529891619
ISI,0.006209940733411746,-0.024487992245409478,0.1865969741868938,0.0329092595158911,0.5318049310435656,0.3051278348697829,0.2291541690881879,1.0,0.39428710420800545,-0.13251717724923423,0.10682588792335047,0.0676681899258269,0.008257687841226737
temp,-0.05125826189682818,-0.02410308397864113,0.36884150535846516,0.05219034097897044,0.4315322591786204,0.46959384433603074,0.49620805310522914,0.39428710420800545,1.0,-0.5273903386376699,-0.22711622037066956,0.06949054662170344,0.09784410734168436
RH,0.08522319351659569,0.06222073101148411,-0.095280384332009,0.09215143741355881,-0.30099541606173924,0.07379494110578093,-0.039191647189483134,-0.13251717724923423,-0.5273903386376699,1.0,0.06941006715607258,0.0997512233431448,-0.07551856346988933
wind,0.01879781839180689,-0.020340851659222517,-0.08636796530413314,0.03247816377925551,-0.028484809230441114,-0.10534225273531549,-0.20346569092971806,0.10682588792335047,-0.22711622037066956,0.06941006715607258,1.0,0.061118880202176866,0.012317276888673177
rain,0.0653871676344612,0.03323410316780374,0.013438129063815689,-0.048340152986807126,0.05670153306263109,0.07478998218143804,0.035860861980096206,0.0676681899258269,0.06949054662170344,0.0997512233431448,0.061118880202176866,1.0,-0.0073657292792922765
area,0.06338529923831279,0.0448732251228133,0.056495774290709545,0.02322637156746077,0.0401220041586204,0.07299429625105723,0.04938322529891619,0.008257687841226737,0.09784410734168436,-0.07551856346988933,0.012317276888673177,-0.0073657292792922765,1.0

